,Aged_1y.tif,Aged_1y_II.tif,Aged_1y_III.tif,Aged_2y.tif,Aged_2y_II.tif,Aged_2y_III.tif,OVX 3m III.tif,OVX 3m.tif,OVX_3m_II.tif,RANKL Ctrl I.tif,RANKL Ctrl II.tif,RANKL Ctrl.tif,RANKL_Tg_I.tif,RANKL_Tg_II.tif,RANKL_Tg_III.tif,SO 3m II.tif,SO 3m III.tif,SO 3m.tif,WT 3m II.tif,WT 3m III.tif,WT 3m.tif,WT 6m II.tif,WT 6m III.tif,WT 6m.tif,WT 8m II.tif,WT 8m III.tif,WT 8m.tif,p62-1y.tif,p62-1y_II.tif,p62-1y_III.tif,p62-2y.tif,p62-2y_II.tif,p62-2y_III.tif,p62-3m.tif,p62-3m_II.tif,p62-3m_III.tif
RANKL_Tg_III.tif,29.3141,21.5609,31.5478,37.7157,46.0918,47.0182,22.1820,44.1922,51.0212,44.9441,47.7109,45.1211,68.4745,58.9995,0.0000,45.9724,51.2427,46.5662,46.7416,47.1893,50.9295,46.2334,46.6231,47.7555,52.3223,65.1229,52.7421,57.3714,15.8913,55.2873,79.8079,49.4948,43.3743,24.7440,37.3747,33.0447
SO 3m II.tif,29.0292,54.0445,60.3548,63.8614,68.4372,72.3493,55.4170,67.4022,70.7421,4.5438,9.9705,5.7288,84.8340,73.8492,45.9724,0.0000,14.3579,4.1886,4.8412,5.6611,15.8739,2.4604,2.9941,8.8149,20.2197,43.3112,20.9866,80.2736,49.7236,77.8511,93.1850,70.7071,66.1768,30.8422,18.7662,19.4926
SO 3m III.tif,36.9129,58.6481,64.5106,67.8103,71.3125,75.7162,59.9313,71.1465,72.1088,17.7898,8.3581,17.6489,87.7772,75.1582,51.2427,14.3579,0.0000,12.4381,13.5014,10.8221,6.8132,13.5697,12.4998,9.4520,10.9790,36.5848,12.5617,83.4593,54.7031,80.9172,94.1919,74.3076,69.6184,38.3189,28.6009,26.9122
SO 3m.tif,29.9570,54.5527,60.8007,64.2743,68.8236,72.7355,55.8999,67.8038,70.9717,7.3921,8.8882,7.6413,85.1728,73.9638,46.5662,4.1886,12.4381,0.0000,5.1098,2.9494,14.0696,3.1804,3.3674,5.8146,18.3956,42.1347,18.9188,80.6104,50.2641,78.2174,93.2528,71.0863,66.6159,31.7174,20.1701,20.4452
WT 3m II.tif,30.3073,54.6825,60.9648,64.4000,68.8902,72.7936,56.0879,67.9310,71.1503,7.7108,9.5086,7.4742,85.2193,74.0458,46.7416,4.8412,13.5014,5.1098,0.0000,6.1055,15.3961,5.1199,5.0972,8.8913,19.4011,42.6838,20.6128,80.7212,50.4498,78.2983,93.4223,71.2070,66.6460,31.9908,20.2452,20.7256
WT 3m III.tif,30.8558,55.0506,61.2617,64.7748,69.2236,73.1606,56.4334,68.2546,71.1254,9.1310,7.8140,9.5718,85.5330,74.2782,47.1893,5.6611,10.8221,2.9494,6.1055,0.0000,12.1835,4.5988,4.3908,4.2111,16.4600,40.9639,17.0472,80.9560,50.8491,78.6134,93.5696,71.5310,67.0918,32.6004,21.6308,21.5714
WT 3m.tif,36.3124,58.2421,64.1806,67.5089,71.5700,75.5707,59.5672,70.8671,71.8430,18.9898,10.3158,19.2146,87.6065,75.9100,50.9295,15.8739,6.8132,14.0696,15.3961,12.1835,0.0000,15.1764,14.3845,10.2516,6.3911,32.7792,7.0970,83.1756,54.3079,80.8323,94.8227,74.0017,69.7005,37.7806,28.7068,27.8497
WT 6m II.tif,29.3828,54.2421,60.5370,64.0539,68.6056,72.5291,55.6158,67.5844,70.8915,5.6798,9.3863,6.1047,84.9923,73.9739,46.2334,2.4604,13.5697,3.1804,5.1199,4.5988,15.1764,0.0000,1.9056,7.7419,19.5722,42.9784,20.2637,80.4038,49.9570,78.0140,93.2697,70.8731,66.4003,31.2088,19.4304,19.8181
WT 6m III.tif,30.0782,54.5907,60.8571,64.3114,68.7173,72.7362,55.9592,67.8431,70.8618,6.5314,8.7007,6.7586,85.1768,73.8877,46.6231,2.9941,12.4998,3.3674,5.0972,4.3908,14.3845,1.9056,0.0000,7.4470,18.9339,42.5950,19.6724,80.6405,50.3215,78.1866,93.1176,71.0997,66.5761,31.8024,20.0649,20.1143
WT 6m.tif,31.6150,55.4608,61.6545,65.1231,69.7775,73.5598,56.8232,68.6007,71.4034,12.1257,7.1606,12.3679,85.8481,74.7444,47.7555,8.8149,9.4520,5.8146,8.8913,4.2111,10.2516,7.7419,7.4470,0.0000,14.2063,39.3360,14.6453,81.2475,51.3005,78.9905,94.0044,71.8349,67.6439,33.3366,23.2731,23.1109
WT 8m II.tif,38.0969,59.3189,65.2117,68.4780,72.9779,76.5898,60.6665,71.8077,72.6747,23.1798,14.1947,23.4669,88.4193,77.4101,52.3223,20.2197,10.9790,18.3956,19.4011,16.4600,6.3911,19.5722,18.9339,14.2063,0.0000,29.6845,5.3431,83.9487,55.5074,81.8650,96.1319,74.8699,71.0364,39.5253,31.7301,31.1522
WT 8m III.tif,54.3746,70.9014,75.8972,78.8102,82.5814,85.7776,72.0624,81.7007,80.7720,44.9810,39.2913,45.1754,96.6125,86.4180,65.1229,43.3112,36.5848,42.1347,42.6838,40.9639,32.7792,42.9784,42.5950,39.3360,29.6845,0.0000,28.5922,92.5011,67.7949,90.5559,103.5564,84.4628,80.8843,55.3938,49.9962,49.6996
WT 8m.tif,38.6820,59.7361,65.5610,68.8482,73.1741,76.8760,61.0481,72.1476,72.8801,23.7881,16.0561,24.1646,88.6952,77.5271,52.7421,20.9866,12.5617,18.9188,20.6128,17.0472,7.0970,20.2637,19.6724,14.6453,5.3431,28.5922,0.0000,84.2327,55.9304,82.0988,96.1788,75.2129,71.2885,40.1043,32.2567,31.5801
p62-1y.tif,73.2364,43.3242,41.2926,28.7512,23.3341,18.5070,42.3554,43.3083,29.6139,79.7126,81.2748,79.8379,43.6225,34.1808,57.3714,80.2736,83.4593,80.6104,80.7212,80.9560,83.1756,80.4038,80.6405,81.2475,83.9487,92.5011,84.2327,0.0000,48.8430,22.3471,52.4246,24.5858,33.6941,70.0834,76.6925,74.7484
p62-1y_II.tif,36.6514,17.0264,22.7594,25.9709,36.9264,37.8226,14.5837,34.9082,42.7836,48.7699,51.3120,48.9542,60.8098,50.9905,15.8913,49.7236,54.7031,50.2641,50.4498,50.8491,54.3079,49.9570,50.3215,51.3005,55.5074,67.7949,55.9304,48.8430,0.0000,48.1767,73.7292,40.0034,35.7179,31.8131,43.0582,39.6624
p62-1y_III.tif,70.4029,42.1731,42.3102,30.6387,23.1171,19.3957,40.5149,47.5769,21.2262,77.2594,78.8715,77.3138,43.3864,34.8019,55.2873,77.8511,80.9172,78.2174,78.2983,78.6134,80.8323,78.0140,78.1866,78.9905,81.8650,90.5559,82.0988,22.3471,48.1767,0.0000,51.0463,22.6885,33.2894,67.4535,73.5712,71.1641
p62-2y.tif,90.3138,74.2760,70.4041,61.1768,52.9659,56.4495,72.3422,65.8930,53.3453,92.7499,93.6104,92.5793,51.3168,48.0471,79.8079,93.1850,94.1919,93.2528,93.4223,93.5696,94.8227,93.2697,93.1176,94.0044,96.1319,103.5564,96.1788,52.4246,73.7292,51.0463,0.0000,50.5466,53.7190,87.4314,90.8259,87.5858
p62-2y_II.tif,62.1789,38.9696,33.0980,21.7133,22.3326,21.8931,36.6219,33.5198,27.2374,70.0016,71.8117,70.0959,32.4789,31.4411,49.4948,70.7071,74.3076,71.0863,71.2070,71.5310,74.0017,70.8731,71.0997,71.8349,74.8699,84.4628,75.2129,24.5858,40.0034,22.6885,50.5466,0.0000,28.3158,59.1744,65.9811,63.9392
p62-2y_III.tif,59.8124,32.5149,25.5640,24.9033,24.6894,25.8345,31.2739,33.6731,30.5315,65.4735,67.4985,65.4469,43.1195,31.7748,43.3743,66.1768,69.6184,66.6159,66.6460,67.0918,69.7005,66.4003,66.5761,67.6439,71.0364,80.8843,71.2885,33.6941,35.7179,33.2894,53.7190,28.3158,0.0000,55.9830,62.2008,59.4787
p62-3m.tif,13.1500,39.1306,46.5093,51.2945,59.7028,61.5185,39.7180,54.5233,63.5877,29.3056,33.3638,29.5696,76.2607,69.2930,24.7440,30.8422,38.3189,31.7174,31.9908,32.6004,37.7806,31.2088,31.8024,33.3366,39.5253,55.3938,40.1043,70.0834,31.8131,67.4535,87.4314,59.1744,55.9830,0.0000,19.9521,17.0050
p62-3m_II.tif,15.6552,48.8247,55.3730,59.0206,65.3608,68.3281,49.6594,62.6298,68.3037,16.3825,23.0835,16.4405,81.2064,72.4044,37.3747,18.7662,28.6009,20.1701,20.2452,21.6308,28.7068,19.4304,20.0649,23.2731,31.7301,49.9962,32.2567,76.6925,43.0582,73.5712,90.8259,65.9811,62.2008,19.9521,0.0000,12.6215
p62-3m_III.tif,16.7970,45.8504,52.6338,56.8803,62.1604,65.9708,46.5847,60.1124,65.3838,18.2475,23.0457,18.0719,79.5669,69.0004,33.0447,19.4926,26.9122,20.4452,20.7256,21.5714,27.8497,19.8181,20.1143,23.1109,31.1522,49.6996,31.5801,74.7484,39.6624,71.1641,87.5858,63.9392,59.4787,17.0050,12.6215,0.0000
